Field,Male,Female
Agricultural sciences and natural resources,"78,000","66,000"
Biological and biomedical sciences,"75,000","66,000"
Health sciences,"75,000","75,000"
Chemistry,"80,000","75,000"
"Geosciences, atmospheric, and ocean sciences","75,167","71,750"
Physics and astronomy,"95,000","97,650"
Mathematics and computer sciences,"105,000","90,000"
Psychology,"63,000","60,000"
Economics,"105,000","95,750"
Social sciences,"64,000","62,000"
Engineering,"95,000","90,000"
Education,"71,000","63,000"
Humanities and arts,"52,000","50,000"
Business management and administration,"123,500","120,000"
Other non-S&E fields,"62,800","61,000"
