Field,Male,Female
Agricultural sciences and natural resources,"42,750","44,000"
Biological and biomedical sciences,"42,000","42,000"
Health sciences,"43,000","43,250"
Chemistry,"42,000","42,000"
"Geosciences, atmospheric, and ocean sciences","50,000","50,000"
Physics and astronomy,"50,000","53,000"
Mathematics and computer sciences,"58,000","55,000"
Psychology,"42,000","42,000"
Economics,"65,000","65,000"
Social sciences,"48,000","49,250"
Engineering,"45,000","45,000"
Education,"50,000","45,000"
Humanities and arts,"45,000","45,000"
Business management and administration,"60,000","63,500"
Other non-S&E fields,"50,000","44,000"
