Field,Salary,Gender
Agricultural sciences and natural resources,"42,750",Male
Biological and biomedical sciences,"42,000",Male
Health sciences,"43,000",Male
Chemistry,"42,000",Male
"Geosciences, atmospheric, and ocean sciences","50,000",Male
Physics and astronomy,"50,000",Male
Mathematics and computer sciences,"58,000",Male
Psychology,"42,000",Male
Economics,"65,000",Male
Social sciences,"48,000",Male
Engineering,"45,000",Male
Education,"50,000",Male
Humanities and arts,"45,000",Male
Business management and administration,"60,000",Male
Other non-S&E fields,"50,000",Male
Agricultural sciences and natural resources,"44,000",Female
Biological and biomedical sciences,"42,000",Female
Health sciences,"43,250",Female
Chemistry,"42,000",Female
"Geosciences, atmospheric, and ocean sciences","50,000",Female
Physics and astronomy,"53,000",Female
Mathematics and computer sciences,"55,000",Female
Psychology,"42,000",Female
Economics,"65,000",Female
Social sciences,"49,250",Female
Engineering,"45,000",Female
Education,"45,000",Female
Humanities and arts,"45,000",Female
Business management and administration,"63,500",Female
Other non-S&E fields,"44,000",Female
